,wid,links,county,city,state,population,watertype
44146,CT0780251,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0780251&state=CT&source=Ground%20water&population=40&sys_num=0,TOLLAND,MANSFIELD,CT,40,Ground water
15500,LA1017076,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1017076&state=LA&source=Ground%20water&population=25&sys_num=0,CADDO PARISH,NOT REPORTED,LA,25,Ground water
24804,FL6291524,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL6291524&state=FL&source=Ground%20water&population=25&sys_num=0,HILLSBOROUGH,RUSKIN,FL,25,Ground water
36208,MI0000320,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0000320&state=MI&source=Ground%20water&population=885&sys_num=0,KALAMAZOO,AUGUSTA,MI,885,Ground water
13326,MO2010093,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO2010093&state=MO&source=Surface%20water&population=5334&sys_num=0,PIKE,BOWLING GREEN,MO,5334,Surface water
5517,MT0004353,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0004353&state=MT&source=Ground%20water%20purchased&population=70&sys_num=0,TOOLE,SHELBY,MT,70,Ground water purchased
45251,MA1217001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MA1217001&state=MA&source=Surface%20water&population=726&sys_num=0,FRANKLIN,NORTHFIELD,MA,726,Surface water
27706,NC0149106,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0149106&state=NC&source=Ground%20water&population=251&sys_num=0,IREDELL,STATESVILLE,NC,251,Ground water
21779,TN0000425,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TN0000425&state=TN&source=Surface%20water%20purchased&population=14124&sys_num=0,MONROE,MADISONVILLE,TN,14124,Surface water purchased
2470,OR4101216,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4101216&state=OR&source=Ground%20water&population=90&sys_num=0,WASCO,NOT REPORTED,OR,90,Ground water
16713,WI2410575,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI2410575&state=WI&source=Ground%20water&population=400&sys_num=0,MILWAUKEE,HALES CORNERS,WI,400,Ground water
38538,VI1000138,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VI1000138&state=VI&source=Ground%20water&population=128&sys_num=0,ST. THOMAS ISLAND,NOT REPORTED,VI,128,Ground water
28252,NC0392195,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0392195&state=NC&source=Ground%20water&population=50&sys_num=0,WAKE,FUQUAY-VARINA,NC,50,Ground water
19044,IL0550650,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0550650&state=IL&source=Surface%20water%20purchased&population=669&sys_num=0,FRANKLIN,WEST CITY,IL,669,Surface water purchased
5512,MT0002862,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0002862&state=MT&source=Ground%20water&population=70&sys_num=0,FLATHEAD,WHITEFISH,MT,70,Ground water
8629,NE3106505,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3106505&state=NE&source=Ground%20water&population=641&sys_num=0,FURNAS,BEAVER CITY,NE,641,Ground water
37714,AK2340230,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AK2340230&state=AK&source=Ground%20water&population=455&sys_num=0,NORTHWEST ARCTIC BOROUGH,KIANA,AK,455,Ground water
38458,PR0677066,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PR0677066&state=PR&source=Ground%20water&population=566&sys_num=0,YABUCOA MUNICIPIO,YABUCOA,PR,566,Ground water
38686,CA1910007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA1910007&state=CA&source=Surface%20water&population=110000&sys_num=0,LOS ANGELES,NOT REPORTED,CA,110000,Surface water
5080,ID2180028,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID2180028&state=ID&source=Ground%20water%20purchased&population=89&sys_num=0,CLEARWATER,NOT REPORTED,ID,89,Ground water purchased
