,wid,links,county,city,state,population,watertype
19497,IN5264033,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5264033&state=IN&source=Ground%20water%20purchased&population=2489&sys_num=0,PORTER,VALPARAISO,IN,2489,Ground water purchased
46908,DE0000430,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DE0000430&state=DE&source=Ground%20water&population=60&sys_num=0,SUSSEX,BRIDGEVILLE,DE,60,Ground water
3176,NV0000043,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NV0000043&state=NV&source=Ground%20water&population=340&sys_num=0,EUREKA,NOT REPORTED,NV,340,Ground water
4316,UTAH24010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=UTAH24010&state=UT&source=Surface%20water%20purchased&population=1900&sys_num=0,UINTAH,NOT REPORTED,UT,1900,Surface water purchased
13057,IA8215306,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA8215306&state=IA&source=Ground%20water&population=83&sys_num=0,SCOTT,BLUE GRASS,IA,83,Ground water
33081,NY2902820,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY2902820&state=NY&source=Ground%20water%20purchased&population=2503&sys_num=0,NASSAU,EAST WILLISTON (V),NY,2503,Ground water purchased
17943,IL1830600,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL1830600&state=IL&source=Surface%20water&population=1595&sys_num=0,VERMILION,OAKWOOD,IL,1595,Surface water
15958,LA1083006,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1083006&state=LA&source=Ground%20water&population=4842&sys_num=0,RICHLAND PARISH,NOT REPORTED,LA,4842,Ground water
45884,NH0882090,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH0882090&state=NH&source=Ground%20water&population=138&sys_num=0,BELKNAP,GILFORD,NH,138,Ground water
6251,WY5600822,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WY5600822&state=WY&source=Ground%20water&population=1500&sys_num=0,TETON,JACKSON,WY,1500,Ground water
4661,ID4200010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID4200010&state=ID&source=Ground%20water&population=243&sys_num=0,ELMORE,NOT REPORTED,ID,243,Ground water
