Geography,Total
"DuPage County, Illinois","121,506"
"Edgar County, Illinois",187
"Edwards County, Illinois",59
"Effingham County, Illinois",597
"Fayette County, Illinois",304
"Ford County, Illinois",294
"Franklin County, Illinois",475
"Fulton County, Illinois",896
"Gallatin County, Illinois",66
"Greene County, Illinois",115
"Grundy County, Illinois","4,096"
"Hamilton County, Illinois",105
"Hancock County, Illinois",185
"Hardin County, Illinois",56
"Henderson County, Illinois",79
"Henry County, Illinois","2,402"
"Iroquois County, Illinois","1,584"
"Jackson County, Illinois","2,403"
"Jasper County, Illinois",79
"Jefferson County, Illinois",799
"Jersey County, Illinois",222
"Jo Daviess County, Illinois",609
"Johnson County, Illinois",376
"Kane County, Illinois","158,390"
"Kankakee County, Illinois","10,167"
"Kendall County, Illinois","17,898"
"Knox County, Illinois","2,558"
"Lake County, Illinois","139,987"
"LaSalle County, Illinois","9,135"
"Lawrence County, Illinois",553
"Lee County, Illinois","1,802"
"Livingston County, Illinois","1,532"
"Logan County, Illinois",893
"McDonough County, Illinois",867
"McHenry County, Illinois","35,249"
"McLean County, Illinois","7,434"
"Macon County, Illinois","2,072"
"Macoupin County, Illinois",418
"Madison County, Illinois","7,313"
"Marion County, Illinois",542
"Marshall County, Illinois",314
"Mason County, Illinois",117
"Massac County, Illinois",290
"Menard County, Illinois",121
"Mercer County, Illinois",307
"Monroe County, Illinois",450
"Montgomery County, Illinois",459
"Morgan County, Illinois",712
"Moultrie County, Illinois",129
"Ogle County, Illinois","4,741"
"Peoria County, Illinois","7,102"
"Perry County, Illinois",599
"Piatt County, Illinois",167
"Pike County, Illinois",172
"Pope County, Illinois",64
"Pulaski County, Illinois",97
"Putnam County, Illinois",252
"Randolph County, Illinois",867
"Richland County, Illinois",205
"Rock Island County, Illinois","17,118"
"St. Clair County, Illinois","8,785"
"Saline County, Illinois",340
"Sangamon County, Illinois","3,480"
"Schuyler County, Illinois",90
"Scott County, Illinois",43
"Shelby County, Illinois",180
"Stark County, Illinois",59
"Stephenson County, Illinois","1,406"
"Tazewell County, Illinois","2,514"
"Union County, Illinois",863
"Vermilion County, Illinois","3,441"
"Wabash County, Illinois",158
"Warren County, Illinois","1,490"
"Washington County, Illinois",197
"Wayne County, Illinois",176
"White County, Illinois",158
"Whiteside County, Illinois","6,455"
"Will County, Illinois","105,817"
"Williamson County, Illinois","1,301"
"Winnebago County, Illinois","32,177"
"Woodford County, Illinois",527
"Adams County, Indiana","1,412"
"Allen County, Indiana","23,093"
"Bartholomew County, Indiana","4,762"
"Benton County, Indiana",431
"Blackford County, Indiana",117
"Boone County, Indiana","1,270"
"Brown County, Indiana",178
"Carroll County, Indiana",711
"Cass County, Indiana","4,897"
"Clark County, Indiana","5,350"
"Clay County, Indiana",307
"Clinton County, Indiana","4,395"
"Crawford County, Indiana",126
"Daviess County, Indiana","1,314"
"Dearborn County, Indiana",502
"Decatur County, Indiana",426
"DeKalb County, Indiana","1,031"
"Delaware County, Indiana","2,088"
"Dubois County, Indiana","2,521"
"Elkhart County, Indiana","27,886"
"Fayette County, Indiana",223
"Floyd County, Indiana","1,972"
"Fountain County, Indiana",373
"Franklin County, Indiana",210
"Fulton County, Indiana",882
"Gibson County, Indiana",441
"Grant County, Indiana","2,517"
"Greene County, Indiana",322
"Hamilton County, Indiana","9,426"
"Hancock County, Indiana","1,216"
"Harrison County, Indiana",581
"Hendricks County, Indiana","4,379"
"Henry County, Indiana",691
"Howard County, Indiana","2,203"
"Huntington County, Indiana",631
"Jackson County, Indiana","2,410"
"Jasper County, Indiana","1,823"
"Jay County, Indiana",577
"Jefferson County, Indiana",755
"Jennings County, Indiana",571
"Johnson County, Indiana","4,270"
"Knox County, Indiana",590
"Kosciusko County, Indiana","5,634"
"LaGrange County, Indiana","1,317"
"Lake County, Indiana","82,663"
"LaPorte County, Indiana","6,093"
"Lawrence County, Indiana",545
"Madison County, Indiana","4,189"
"Marion County, Indiana","84,466"
"Marshall County, Indiana","3,971"
"Martin County, Indiana",70
"Miami County, Indiana",906
"Monroe County, Indiana","4,029"
"Montgomery County, Indiana","1,739"
"Morgan County, Indiana",820
"Newton County, Indiana",717
"Noble County, Indiana","4,567"
"Ohio County, Indiana",69
"Orange County, Indiana",194
"Owen County, Indiana",198
"Parke County, Indiana",215
"Perry County, Indiana",192
"Pike County, Indiana",120
"Porter County, Indiana","13,933"
"Posey County, Indiana",248
"Pulaski County, Indiana",325
"Putnam County, Indiana",587
"Randolph County, Indiana",790
"Ripley County, Indiana",445
"Rush County, Indiana",190
"St. Joseph County, Indiana","19,395"
"Scott County, Indiana",354
"Shelby County, Indiana","1,647"
"Spencer County, Indiana",517
