Geography,Total
"Hudspeth County, Texas","2,768"
"Hunt County, Texas","11,751"
"Hutchinson County, Texas","4,386"
"Irion County, Texas",407
"Jack County, Texas","1,283"
"Jackson County, Texas","4,079"
"Jasper County, Texas","2,017"
"Jeff Davis County, Texas",790
"Jefferson County, Texas","42,899"
"Jim Hogg County, Texas","4,907"
"Jim Wells County, Texas","32,254"
"Johnson County, Texas","27,319"
"Jones County, Texas","5,009"
"Karnes County, Texas","7,376"
"Kaufman County, Texas","17,548"
"Kendall County, Texas","6,829"
"Kenedy County, Texas",319
"Kent County, Texas",120
"Kerr County, Texas","11,895"
"Kimble County, Texas","1,077"
"King County, Texas",39
"Kinney County, Texas","2,004"
"Kleberg County, Texas","22,495"
"Knox County, Texas","1,101"
"Lamar County, Texas","3,223"
"Lamb County, Texas","7,231"
"Lampasas County, Texas","3,443"
"La Salle County, Texas","5,920"
"Lavaca County, Texas","3,077"
"Lee County, Texas","3,724"
"Leon County, Texas","2,260"
"Liberty County, Texas","13,602"
"Limestone County, Texas","4,465"
"Lipscomb County, Texas","1,007"
"Live Oak County, Texas","4,060"
"Llano County, Texas","1,542"
"Loving County, Texas",18
"Lubbock County, Texas","88,924"
"Lynn County, Texas","2,743"
"McCulloch County, Texas","2,476"
"McLennan County, Texas","55,471"
"McMullen County, Texas",261
"Madison County, Texas","2,688"
"Marion County, Texas",328
"Martin County, Texas","2,086"
"Mason County, Texas",864
"Matagorda County, Texas","14,074"
"Maverick County, Texas","51,914"
"Medina County, Texas","22,871"
"Menard County, Texas",790
"Midland County, Texas","51,600"
"Milam County, Texas","5,780"
"Mills County, Texas",818
"Mitchell County, Texas","3,481"
"Montague County, Texas","1,930"
"Montgomery County, Texas","94,698"
"Moore County, Texas","11,542"
"Morris County, Texas","1,003"
"Motley County, Texas",163
"Nacogdoches County, Texas","11,356"
"Navarro County, Texas","11,345"
"Newton County, Texas",403
"Nolan County, Texas","5,103"
"Nueces County, Texas","206,293"
"Ochiltree County, Texas","4,982"
"Oldham County, Texas",243
"Orange County, Texas","4,766"
"Palo Pinto County, Texas","4,985"
"Panola County, Texas","1,970"
"Parker County, Texas","12,410"
"Parmer County, Texas","6,164"
"Pecos County, Texas","10,430"
"Polk County, Texas","5,959"
"Potter County, Texas","42,692"
"Presidio County, Texas","6,521"
"Rains County, Texas",839
"Randall County, Texas","19,775"
"Reagan County, Texas","2,051"
"Real County, Texas",814
"Red River County, Texas",849
"Reeves County, Texas","10,233"
"Refugio County, Texas","3,487"
"Roberts County, Texas",74
"Robertson County, Texas","2,990"
"Rockwall County, Texas","12,470"
"Runnels County, Texas","3,361"
"Rusk County, Texas","7,609"
"Sabine County, Texas",344
"San Augustine County, Texas",532
"San Jacinto County, Texas","2,880"
"San Patricio County, Texas","35,248"
"San Saba County, Texas","1,715"
"Schleicher County, Texas","1,536"
"Scurry County, Texas","6,149"
"Shackelford County, Texas",340
"Shelby County, Texas","4,164"
"Sherman County, Texas","1,227"
"Smith County, Texas","36,088"
"Somervell County, Texas","1,626"
"Starr County, Texas","58,337"
"Stephens County, Texas","2,011"
"Sterling County, Texas",365
"Stonewall County, Texas",209
"Sutton County, Texas","2,459"
"Swisher County, Texas","3,149"
"Tarrant County, Texas","482,977"
"Taylor County, Texas","29,074"
"Terrell County, Texas",467
"Terry County, Texas","6,211"
"Throckmorton County, Texas",152
"Titus County, Texas","12,799"
"Tom Green County, Texas","39,315"
"Travis County, Texas","342,766"
"Trinity County, Texas","1,117"
"Tyler County, Texas","1,487"
"Upshur County, Texas","2,613"
"Upton County, Texas","1,644"
"Uvalde County, Texas","18,299"
"Val Verde County, Texas","39,199"
"Van Zandt County, Texas","4,847"
"Victoria County, Texas","38,113"
"Walker County, Texas","11,389"
"Waller County, Texas","12,536"
"Ward County, Texas","5,074"
"Washington County, Texas","4,641"
"Webb County, Texas","239,653"
"Wharton County, Texas","15,445"
"Wheeler County, Texas","1,344"
"Wichita County, Texas","21,859"
"Wilbarger County, Texas","3,508"
"Willacy County, Texas","19,297"
"Williamson County, Texas","98,034"
"Wilson County, Texas","16,412"
"Winkler County, Texas","3,824"
"Wise County, Texas","10,112"
"Wood County, Texas","3,551"
"Yoakum County, Texas","4,622"
"Young County, Texas","3,045"
"Zapata County, Texas","13,084"
"Zavala County, Texas","10,961"
"Beaver County, Utah",716
"Box Elder County, Utah","4,152"
"Cache County, Utah","11,216"
"Carbon County, Utah","2,659"
"Daggett County, Utah",33
"Davis County, Utah","25,753"
"Duchesne County, Utah","1,117"
"Emery County, Utah",654
"Garfield County, Utah",234
"Grand County, Utah",881
"Iron County, Utah","3,563"
"Juab County, Utah",379
"Kane County, Utah",263
"Millard County, Utah","1,603"
"Morgan County, Utah",226
"Piute County, Utah",109
"Rich County, Utah",96
"Salt Lake County, Utah","176,015"
"San Juan County, Utah",649
"Sanpete County, Utah","2,619"
"Sevier County, Utah",932
"Summit County, Utah","4,190"
"Tooele County, Utah","6,661"
"Uintah County, Utah","2,330"
"Utah County, Utah","55,793"
"Wasatch County, Utah","3,184"
"Washington County, Utah","13,486"
"Wayne County, Utah",116
"Weber County, Utah","38,711"
"Addison County, Vermont",685
"Bennington County, Vermont",525
"Caledonia County, Vermont",331
"Chittenden County, Vermont","2,856"
"Essex County, Vermont",59
"Franklin County, Vermont",571
"Grand Isle County, Vermont",80
"Lamoille County, Vermont",322
"Orange County, Vermont",282
"Orleans County, Vermont",305
"Rutland County, Vermont",681
"Washington County, Vermont",995
"Windham County, Vermont",820
"Windsor County, Vermont",696
"Accomack County, Virginia","2,850"
"Albemarle County, Virginia","5,417"
"Alleghany County, Virginia",176
"Amelia County, Virginia",290
"Amherst County, Virginia",625
"Appomattox County, Virginia",167
"Arlington County, Virginia","31,382"
"Augusta County, Virginia","1,525"
"Bath County, Virginia",101
"Bedford County, Virginia","1,090"
"Bland County, Virginia",39
"Botetourt County, Virginia",356
"Brunswick County, Virginia",298
"Buchanan County, Virginia",95
"Buckingham County, Virginia",288
"Campbell County, Virginia",918
"Caroline County, Virginia",959
"Carroll County, Virginia",776
"Charles City County, Virginia",88
"Charlotte County, Virginia",240
"Chesterfield County, Virginia","22,864"
"Clarke County, Virginia",490
"Craig County, Virginia",36
"Culpeper County, Virginia","4,157"
"Cumberland County, Virginia",181
"Dickenson County, Virginia",86
"Dinwiddie County, Virginia",674
"Essex County, Virginia",349
"Fairfax County, Virginia","168,482"
"Fauquier County, Virginia","4,178"
"Floyd County, Virginia",412
"Fluvanna County, Virginia",760
"Franklin County, Virginia","1,424"
"Frederick County, Virginia","5,168"
"Giles County, Virginia",209
"Gloucester County, Virginia",935
"Goochland County, Virginia",455
"Grayson County, Virginia",416
"Greene County, Virginia",781
"Greensville County, Virginia",173
"Halifax County, Virginia",587
"Hanover County, Virginia","2,116"
"Henrico County, Virginia","15,001"
"Henry County, Virginia","2,545"
"Highland County, Virginia",18
"Isle of Wight County, Virginia",658
"James City County, Virginia","3,024"
"King and Queen County, Virginia",184
"King George County, Virginia",790
"King William County, Virginia",324
"Lancaster County, Virginia",118
"Lee County, Virginia",406
"Loudoun County, Virginia","38,576"
"Louisa County, Virginia",762
"Lunenburg County, Virginia",470
"Madison County, Virginia",236
"Mathews County, Virginia",104
"Mecklenburg County, Virginia",806
"Middlesex County, Virginia",166
"Montgomery County, Virginia","2,536"
"Nelson County, Virginia",459
"New Kent County, Virginia",390
"Northampton County, Virginia",874
"Northumberland County, Virginia",382
"Nottoway County, Virginia",609
"Orange County, Virginia","1,139"
"Page County, Virginia",373
"Patrick County, Virginia",444
"Pittsylvania County, Virginia","1,332"
"Powhatan County, Virginia",502
"Prince Edward County, Virginia",525
"Prince George County, Virginia","2,058"
"Prince William County, Virginia","81,460"
"Pulaski County, Virginia",432
"Rappahannock County, Virginia",228
"Richmond County, Virginia",510
"Roanoke County, Virginia","1,951"
"Rockbridge County, Virginia",296
"Rockingham County, Virginia","4,076"
"Russell County, Virginia",275
"Scott County, Virginia",234
"Shenandoah County, Virginia","2,577"
"Smyth County, Virginia",527
"Southampton County, Virginia",203
"Spotsylvania County, Virginia","9,278"
"Stafford County, Virginia","11,875"
"Surry County, Virginia",86
"Sussex County, Virginia",268
"Tazewell County, Virginia",296
"Warren County, Virginia","1,318"
"Washington County, Virginia",724
"Westmoreland County, Virginia","1,002"
"Wise County, Virginia",471
"Wythe County, Virginia",280
"York County, Virginia","2,892"
"Alexandria city, Virginia","22,524"
"Bristol city, Virginia",221
"Buena Vista city, Virginia",103
"Charlottesville city, Virginia","2,223"
"Chesapeake city, Virginia","9,706"
"Colonial Heights city, Virginia",674
"Covington city, Virginia",92
"Danville city, Virginia","1,245"
"Emporia city, Virginia",262
"Fairfax city, Virginia","3,556"
"Falls Church city, Virginia","1,109"
"Franklin city, Virginia",141
"Fredericksburg city, Virginia","2,607"
"Galax city, Virginia",989
"Hampton city, Virginia","6,241"
"Harrisonburg city, Virginia","7,665"
"Hopewell city, Virginia","1,480"
"Lexington city, Virginia",271
"Lynchburg city, Virginia","2,300"
"Manassas city, Virginia","11,876"
"Manassas Park city, Virginia","4,645"
"Martinsville city, Virginia",552
"Newport News city, Virginia","13,590"
"Norfolk city, Virginia","16,144"
"Norton city, Virginia",68
"Petersburg city, Virginia","1,216"
"Poquoson city, Virginia",221
"Portsmouth city, Virginia","2,919"
"Radford city, Virginia",385
"Richmond city, Virginia","12,803"
"Roanoke city, Virginia","5,345"
"Salem city, Virginia",601
"Staunton city, Virginia",513
"Suffolk city, Virginia","2,415"
"Virginia Beach city, Virginia","28,987"
"Waynesboro city, Virginia","1,337"
"Williamsburg city, Virginia",941
"Winchester city, Virginia","4,041"
"Adams County, Washington","11,099"
"Asotin County, Washington",643
"Benton County, Washington","32,696"
"Chelan County, Washington","18,713"
"Clallam County, Washington","3,627"
"Clark County, Washington","32,166"
"Columbia County, Washington",254
"Cowlitz County, Washington","7,975"
"Douglas County, Washington","11,013"
"Ferry County, Washington",254
"Franklin County, Washington","40,004"
"Garfield County, Washington",91
"Grant County, Washington","34,163"
"Grays Harbor County, Washington","6,272"
"Island County, Washington","4,295"
"Jefferson County, Washington",848
"King County, Washington","172,378"
"Kitsap County, Washington","15,686"
"Kittitas County, Washington","3,121"
"Klickitat County, Washington","2,171"
"Lewis County, Washington","6,527"
"Lincoln County, Washington",239
"Mason County, Washington","4,844"
"Okanogan County, Washington","7,227"
"Pacific County, Washington","1,677"
"Pend Oreille County, Washington",391
"Pierce County, Washington","72,849"
"San Juan County, Washington",857
"Skagit County, Washington","19,709"
"Skamania County, Washington",553
"Snohomish County, Washington","64,249"
"Spokane County, Washington","21,260"
"Stevens County, Washington","1,185"
"Thurston County, Washington","17,787"
"Wahkiakum County, Washington",108
"Walla Walla County, Washington","11,593"
"Whatcom County, Washington","15,756"
"Whitman County, Washington","2,040"
"Yakima County, Washington","109,470"
"Barbour County, West Virginia",96
"Berkeley County, West Virginia","3,961"
"Boone County, West Virginia",97
"Braxton County, West Virginia",67
"Brooke County, West Virginia",163
"Cabell County, West Virginia","1,046"
"Calhoun County, West Virginia",57
"Clay County, West Virginia",33
"Doddridge County, West Virginia",39
"Fayette County, West Virginia",402
"Gilmer County, West Virginia",493
"Grant County, West Virginia",120
"Greenbrier County, West Virginia",422
"Hampshire County, West Virginia",242
"Hancock County, West Virginia",314
"Hardy County, West Virginia",478
"Harrison County, West Virginia",883
"Jackson County, West Virginia",185
"Jefferson County, West Virginia","2,489"
"Kanawha County, West Virginia","1,812"
"Lewis County, West Virginia",104
"Lincoln County, West Virginia",96
"Logan County, West Virginia",258
"McDowell County, West Virginia",91
"Marion County, West Virginia",514
"Marshall County, West Virginia",265
"Mason County, West Virginia",119
"Mercer County, West Virginia",480
"Mineral County, West Virginia",202
"Mingo County, West Virginia",119
"Monongalia County, West Virginia","1,692"
"Monroe County, West Virginia",83
"Morgan County, West Virginia",183
"Nicholas County, West Virginia",146
"Ohio County, West Virginia",362
"Pendleton County, West Virginia",71
"Pleasants County, West Virginia",61
"Pocahontas County, West Virginia",68
"Preston County, West Virginia",229
"Putnam County, West Virginia",484
"Raleigh County, West Virginia",996
"Randolph County, West Virginia",192
"Ritchie County, West Virginia",55
"Roane County, West Virginia",103
"Summers County, West Virginia",189
"Taylor County, West Virginia",143
"Tucker County, West Virginia",41
"Tyler County, West Virginia",49
"Upshur County, West Virginia",250
"Wayne County, West Virginia",218
"Webster County, West Virginia",48
"Wetzel County, West Virginia",83
"Wirt County, West Virginia",26
"Wood County, West Virginia",744
"Wyoming County, West Virginia",105
"Adams County, Wisconsin",783
"Ashland County, Wisconsin",302
"Barron County, Wisconsin",862
"Bayfield County, Wisconsin",158
"Brown County, Wisconsin","17,985"
"Buffalo County, Wisconsin",237
"Burnett County, Wisconsin",194
"Calumet County, Wisconsin","1,690"
"Chippewa County, Wisconsin",800
"Clark County, Wisconsin","1,292"
"Columbia County, Wisconsin","1,444"
"Crawford County, Wisconsin",150
"Dane County, Wisconsin","28,925"
"Dodge County, Wisconsin","3,522"
"Door County, Wisconsin",671
"Douglas County, Wisconsin",494
"Dunn County, Wisconsin",626
"Eau Claire County, Wisconsin","1,804"
"Florence County, Wisconsin",37
"Fond du Lac County, Wisconsin","4,368"
"Forest County, Wisconsin",138
"Grant County, Wisconsin",649
"Green County, Wisconsin","1,033"
"Green Lake County, Wisconsin",743
"Iowa County, Wisconsin",336
"Iron County, Wisconsin",35
"Jackson County, Wisconsin",519
"Jefferson County, Wisconsin","5,555"
"Juneau County, Wisconsin",687
"Kenosha County, Wisconsin","19,592"
"Kewaunee County, Wisconsin",463
"La Crosse County, Wisconsin","1,741"
"Lafayette County, Wisconsin",522
"Langlade County, Wisconsin",324
"Lincoln County, Wisconsin",340
"Manitowoc County, Wisconsin","2,565"
"Marathon County, Wisconsin","2,992"
"Marinette County, Wisconsin",522
"Marquette County, Wisconsin",391
"Menominee County, Wisconsin",178
"Milwaukee County, Wisconsin","126,039"
"Monroe County, Wisconsin","1,661"
"Oconto County, Wisconsin",519
"Oneida County, Wisconsin",385
"Outagamie County, Wisconsin","6,359"
"Ozaukee County, Wisconsin","1,956"
"Pepin County, Wisconsin",72
"Pierce County, Wisconsin",623
"Polk County, Wisconsin",656
"Portage County, Wisconsin","1,853"
"Price County, Wisconsin",153
"Racine County, Wisconsin","22,546"
"Richland County, Wisconsin",360
"Rock County, Wisconsin","12,124"
"Rusk County, Wisconsin",173
"St. Croix County, Wisconsin","1,692"
"Sauk County, Wisconsin","2,675"
"Sawyer County, Wisconsin",268
"Shawano County, Wisconsin",905
"Sheboygan County, Wisconsin","6,329"
"Taylor County, Wisconsin",316
"Trempealeau County, Wisconsin","1,667"
"Vernon County, Wisconsin",394
"Vilas County, Wisconsin",268
"Walworth County, Wisconsin","10,578"
"Washburn County, Wisconsin",208
"Washington County, Wisconsin","3,385"
"Waukesha County, Wisconsin","16,123"
"Waupaca County, Wisconsin","1,307"
"Waushara County, Wisconsin","1,329"
"Winnebago County, Wisconsin","5,784"
"Wood County, Wisconsin","1,680"
"Albany County, Wyoming","3,202"
"Big Horn County, Wyoming",984
"Campbell County, Wyoming","3,611"
"Carbon County, Wyoming","2,668"
"Converse County, Wyoming",867
"Crook County, Wyoming",141
"Fremont County, Wyoming","2,264"
"Goshen County, Wyoming","1,288"
"Hot Springs County, Wyoming",105
"Johnson County, Wyoming",276
"Laramie County, Wyoming","11,978"
"Lincoln County, Wyoming",781
"Natrona County, Wyoming","5,231"
"Niobrara County, Wyoming",52
"Park County, Wyoming","1,365"
"Platte County, Wyoming",580
"Sheridan County, Wyoming","1,013"
"Sublette County, Wyoming",712
"Sweetwater County, Wyoming","6,689"
"Teton County, Wyoming","3,191"
"Uinta County, Wyoming","1,855"
"Washakie County, Wyoming","1,162"
"Weston County, Wyoming",216
,
,
,
,
,
,
,
,
