wid,state,county,population,watertype,health,reporting,length,analytics,lead,e_coli,coliform,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,unknown/old
AK2240448,AK,KENAI PENINSULA BOROUGH,8375,Ground water,2,52,129.3333333,0.0265,0,0,2,2,0,2,2,3,0,0,1,22,22,0,0
AK2240456,AK,KENAI PENINSULA BOROUGH,6008,Surface water,1,7,73,0.064,0,0,2,0,0,0,1,1,4,0,0,1,1,0,0
AK2240464,AK,KENAI PENINSULA BOROUGH,281,Surface water,9,173,58.67032967,0,1,0,50,12,6,27,28,13,12,8,20,21,33,0,2
AK2240472,AK,KENAI PENINSULA BOROUGH,199,Ground water,1,51,83.80487805,0.011,11,0,4,11,31,0,0,0,0,2,2,2,3,0,1
AK2240498,AK,KENAI PENINSULA BOROUGH,180,Surface water,5,74,151.8717949,0,1,0,7,0,1,24,7,16,5,0,5,10,11,0,0
AK2240503,AK,KENAI PENINSULA BOROUGH,100,Ground water,0,87,616.2592593,0,2,0,35,0,0,1,0,3,32,8,7,9,6,0,21
AK2240707,AK,KENAI PENINSULA BOROUGH,418,Surface water,2,70,275.4347826,0,2,0,6,3,1,2,1,1,33,1,3,26,1,0,0
AK2240757,AK,KENAI PENINSULA BOROUGH,4000,Ground water,0,16,899.125,0,0,0,2,0,2,0,0,1,11,0,2,0,0,0,0
AK2240773,AK,KENAI PENINSULA BOROUGH,100,Ground water,0,798,154.8007566,0,0,0,38,2,0,25,1,88,64,67,321,124,100,0,6
AK2241012,AK,KENAI PENINSULA BOROUGH,337,Ground water,3,28,305.9677419,0.014666667,0,0,6,0,1,1,0,1,2,23,0,1,2,0,0
AK2241020,AK,KENAI PENINSULA BOROUGH,470,Ground water,4,4,65.8,0.006,3,0,2,0,2,2,0,0,0,0,0,1,0,0,3
AK2241054,AK,KENAI PENINSULA BOROUGH,4307,Ground water,0,21,364,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
AK2241062,AK,KENAI PENINSULA BOROUGH,125,Ground water,0,41,1622.135135,0,1,0,3,0,0,21,0,2,0,1,4,1,1,0,11
AK2241101,AK,KENAI PENINSULA BOROUGH,51,Ground water,0,44,1196.052632,0,3,0,7,2,2,3,1,2,0,0,3,2,1,0,28
AK2241648,AK,KENAI PENINSULA BOROUGH,360,Surface water,1,7,436.75,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,1
AK2243103,AK,KENAI PENINSULA BOROUGH,85,Ground water,0,47,1621.425,0,3,0,0,0,3,0,0,0,0,4,0,1,0,0,39
AK2243137,AK,KENAI PENINSULA BOROUGH,60,Ground water,2,59,834.3157895,0,2,0,14,1,0,21,0,0,23,1,8,6,1,0,0
AK2243658,AK,KENAI PENINSULA BOROUGH,170,Ground water,5,36,1341.121212,7.2046,1,0,0,1,0,21,0,0,1,7,0,1,4,0,6
AK2243771,AK,KENAI PENINSULA BOROUGH,30,Ground water,0,76,837.5,0,2,0,16,2,6,3,1,2,25,2,3,0,0,0,32
AK2244159,AK,KENAI PENINSULA BOROUGH,535,Ground water,0,4,577.75,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0
AK2244955,AK,KENAI PENINSULA BOROUGH,300,Ground water,1,73,92.94366197,11.3,0,0,2,42,22,1,2,2,0,0,3,2,0,0,0
AK2247490,AK,KENAI PENINSULA BOROUGH,348,Ground water,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
