,,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Kern County, California",,"257,737","17,751","17,727","15,780","15,723","15,603","13,562","14,029","11,506","9,727","19,363","25,944","30,408","19,766","11,252","11,519","8,077"
"Kings County, California",,"41,108","2,891","2,489","2,388","2,625","2,218","2,539","2,360","2,043","2,065","3,113","4,080","4,862","2,757","1,827","1,832","1,019"
"Lake County, California",,"26,771","2,485","2,511","2,537","2,119","1,818","1,637","1,250","1,216","1,233","1,944","2,235","2,488","1,665",681,535,417
"Lassen County, California",,"9,821",776,623,398,481,656,408,335,490,447,769,"1,305","1,313",737,484,420,179
"Los Angeles County, California",,"3,242,391","212,332","189,719","176,592","168,723","157,137","155,804","143,355","141,637","123,248","239,617","302,327","380,020","268,317","170,260","193,623","219,680"
"Madera County, California",,"42,723","3,325","2,173","2,782","2,810","2,814","2,489","2,404","2,382","1,856","3,657","4,753","4,253","3,087","1,775","1,269",894
"Marin County, California",,"103,034","3,717","3,858","3,469","3,453","2,809","3,220","3,460","3,196","2,906","5,694","7,599","11,418","10,211","7,063","10,767","20,194"
"Mariposa County, California",,"7,289",585,353,530,545,212,331,396,370,273,544,712,863,760,391,243,181
"Mendocino County, California",,"33,693","2,442","3,097","2,457","2,151","2,100","2,365","1,264","1,578","1,404","3,121","3,490","3,151","1,967","1,383",913,810
"Merced County, California",,"76,516","5,278","5,747","5,239","5,378","4,988","4,969","4,162","3,840","3,234","6,512","7,444","7,947","4,486","2,908","2,234","2,150"
"Modoc County, California",,"3,893",415,251,225,406,327,198,238,186,205,196,377,347,334,141,10,37
"Mono County, California",,"5,160",84,309,175,115,222,295,466,164,214,409,698,969,469,343,115,113
