,,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Ziebach County, South Dakota",,792,156,78,58,49,31,43,33,45,50,26,86,59,35,23,20,0
"Anderson County, Tennessee",,"30,393","2,281","2,165","1,897","2,425","1,743","1,666","1,649","1,608","1,159","2,372","3,092","3,198","1,744","1,490","1,220",684
"Bedford County, Tennessee",,"16,608","1,503","1,111","1,238","1,600",989,839,825,976,802,"1,324","1,783","1,701",884,469,351,213
"Benton County, Tennessee",,"6,837",731,702,507,524,547,482,497,327,319,608,540,504,214,230,58,47
"Bledsoe County, Tennessee",,"4,480",499,422,339,292,392,329,297,150,186,448,330,449,127,87,80,53
"Blount County, Tennessee",,"48,674","3,456","2,846","3,129","3,295","2,904","2,909","2,658","2,355","2,401","4,035","5,383","6,063","3,198","1,571","1,346","1,125"
"Bradley County, Tennessee",,"37,823","3,120","2,819","2,837","2,530","2,433","2,322","2,009","2,103","1,639","3,191","3,507","4,375","2,292","1,061",913,672
"Campbell County, Tennessee",,"15,902","2,301","1,557","1,275","1,215","1,077","1,142","1,075",682,630,"1,310","1,220","1,346",586,294,108,84
"Cannon County, Tennessee",,"5,405",532,307,381,466,474,286,270,300,287,468,535,640,213,99,107,40
"Carroll County, Tennessee",,"11,096","1,212","1,014",751,935,819,682,775,530,586,616,"1,166",899,637,232,86,156
"Carter County, Tennessee",,"24,090","2,950","2,358","1,800","2,249","1,760","1,582","1,320","1,188",907,"2,171","2,302","1,801",851,339,241,271
"Cheatham County, Tennessee",,"14,520",759,464,884,783,944,739,873,710,767,"1,421","1,749","2,049","1,135",626,367,250
"Chester County, Tennessee",,"5,943",595,598,375,420,346,249,289,319,224,577,610,666,245,188,107,135
"Claiborne County, Tennessee",,"12,696","1,771","1,219",974,"1,057",811,830,723,478,754,912,"1,321",966,492,178,85,125
"Clay County, Tennessee",,"3,174",426,339,317,187,328,280,186,217,68,134,307,132,154,71,22,6
"Cocke County, Tennessee",,"14,788","2,524","1,472","1,283","1,213",755,839,895,688,601,"1,317","1,088","1,087",598,133,159,136
"Coffee County, Tennessee",,"21,131","2,073","1,718","1,629","1,397","1,331","1,464","1,036","1,104",927,"1,831","2,009","2,338",970,543,376,385
"Crockett County, Tennessee",,"5,572",436,392,472,376,605,312,335,431,300,485,505,427,199,141,89,67
"Cumberland County, Tennessee",,"23,923","2,138","1,688","1,809","2,013","1,435","1,537","1,898","1,753","1,187","1,866","2,117","2,188",977,639,358,320
"Davidson County, Tennessee",,"259,557","20,615","14,915","15,026","15,113","14,848","14,696","14,624","13,910","11,943","21,988","25,624","28,944","16,937","9,559","9,694","11,121"
"Decatur County, Tennessee",,"5,045",677,453,347,343,260,312,298,288,187,388,470,478,166,111,119,148
"DeKalb County, Tennessee",,"6,998",505,554,601,574,447,607,442,377,301,548,621,545,491,115,84,186
"Dickson County, Tennessee",,"18,469","1,408",985,"1,574",995,"1,207","1,201",841,"1,008","1,140","1,527","1,739","2,283","1,179",661,293,428
"Dyer County, Tennessee",,"15,088","1,237","1,126","1,023",912,"1,169","1,036",754,779,685,923,"1,670","1,855",759,390,437,333
"Fayette County, Tennessee",,"14,681","1,066",629,958,575,871,639,518,702,649,"1,310","1,612","1,843","1,286",602,708,713
"Fentress County, Tennessee",,"7,326","1,126",701,645,639,578,466,524,462,304,688,410,364,228,84,48,59
"Franklin County, Tennessee",,"16,126","1,189","1,255","1,083","1,011",987,"1,032","1,015","1,051",723,"1,530","1,708","1,605",853,344,294,446
"Gibson County, Tennessee",,"19,255","1,807","1,329","1,689","1,485","1,141","1,275","1,429","1,050",871,"1,642","1,640","2,022",974,381,301,219
"Giles County, Tennessee",,"11,327","1,023",963,920,832,692,739,669,646,466,"1,024","1,127","1,179",433,330,137,147
"Grainger County, Tennessee",,"8,888",900,769,764,705,677,707,548,405,407,828,881,564,332,193,87,121
"Greene County, Tennessee",,"28,489","2,862","2,261","2,223","2,494","1,757","2,272","1,792","1,633","1,228","2,598","2,440","2,677",987,550,404,311
"Grundy County, Tennessee",,"5,331",792,543,536,574,462,284,319,247,194,379,399,281,230,19,2,70
"Hamblen County, Tennessee",,"24,401","2,506","1,850","2,389","1,557","1,472","1,558","1,349","1,200","1,022","2,135","2,162","2,663","1,081",647,441,369
"Hamilton County, Tennessee",,"135,974","10,987","8,231","8,818","7,197","7,722","7,482","7,285","6,750","6,029","10,706","13,115","15,713","10,006","5,757","5,019","5,157"
"Hancock County, Tennessee",,"2,819",426,453,276,161,245,216,86,141,107,194,271,120,35,47,28,13
"Hardeman County, Tennessee",,"8,712","1,159",777,914,796,670,683,421,382,241,656,730,564,411,167,93,48
"Hardin County, Tennessee",,"9,889","1,122",962,764,984,579,643,677,477,464,621,847,815,369,220,107,238
"Hawkins County, Tennessee",,"23,414","2,223","1,614","1,729","1,961","1,962","1,430","1,344","1,261",965,"2,045","2,343","2,160","1,272",468,370,267
"Haywood County, Tennessee",,"6,995",959,626,511,580,393,554,531,298,427,490,489,512,266,151,95,113
"Henderson County, Tennessee",,"10,916","1,169",888,928,426,780,688,737,599,456,960,"1,163","1,076",357,301,219,169
"Henry County, Tennessee",,"13,317","1,274","1,166",776,"1,008",942,877,849,866,672,"1,162","1,198","1,326",506,294,162,239
"Hickman County, Tennessee",,"8,812",886,704,672,577,618,541,604,549,370,678,897,770,426,196,252,72
"Houston County, Tennessee",,"3,311",271,284,265,308,239,140,209,211,108,356,348,267,140,90,24,51
"Humphreys County, Tennessee",,"7,360",600,518,636,539,569,298,362,559,253,653,601,873,500,204,100,95
"Jackson County, Tennessee",,"4,552",576,389,507,364,197,342,277,212,254,341,465,257,250,48,32,41
"Jefferson County, Tennessee",,"19,979","1,728","1,312","1,380","1,220","1,330","1,359","1,288","1,153",805,"1,809","2,251","1,917","1,229",447,497,254
"Johnson County, Tennessee",,"7,110",869,722,712,441,644,478,453,432,213,540,674,570,169,92,30,71
"Knox County, Tennessee",,"180,558","15,295","9,524","11,061","11,100","10,526","11,190","9,049","8,715","7,428","13,866","17,421","20,627","12,644","7,811","7,059","7,242"
"Lake County, Tennessee",,"2,150",323,248,190,133,214,102,99,90,78,162,143,222,76,35,18,17
"Lauderdale County, Tennessee",,"9,833","1,277","1,177",925,590,802,626,535,533,297,825,883,707,250,149,160,97
"Lawrence County, Tennessee",,"15,932","1,364","1,273","1,324","1,216","1,049","1,114","1,123",655,892,"1,244","1,554","1,729",740,310,168,177
"Lewis County, Tennessee",,"4,768",402,401,479,350,316,317,416,304,214,326,419,507,213,50,46,8
"Lincoln County, Tennessee",,"13,702","1,105","1,048",938,903,811,945,853,929,507,"1,409","1,444","1,322",790,322,240,136
"Loudon County, Tennessee",,"19,912","1,001","1,222","1,107","1,324","1,168","1,034","1,111","1,076",835,"1,520","2,470","2,322","1,241",992,736,753
"McMinn County, Tennessee",,"20,187","2,257","1,575","1,382","1,486","1,444",926,"1,090","1,180",844,"1,962","2,086","1,716","1,149",456,429,205
"McNairy County, Tennessee",,"9,796","1,492",775,766,811,783,779,507,508,417,673,807,794,340,143,137,64
"Macon County, Tennessee",,"8,640",839,827,615,639,909,592,511,530,297,607,865,720,419,169,58,43
"Madison County, Tennessee",,"36,253","3,681","2,777","2,167","1,951","2,504","2,278","1,998","1,794","1,346","2,782","3,376","4,252","2,436",971,908,"1,032"
"Marion County, Tennessee",,"11,282","1,183",826,920,745,676,617,559,565,559,904,"1,036","1,241",775,308,266,102
"Marshall County, Tennessee",,"11,724","1,030",786,724,632,986,786,695,667,564,"1,071","1,104","1,081",869,267,316,146
"Maury County, Tennessee",,"32,112","2,190","2,253","2,225","2,066","1,803","1,580","1,583","1,794","1,540","2,894","3,987","3,788","1,897","1,036",756,720
"Meigs County, Tennessee",,"4,677",492,424,280,373,539,336,312,174,195,260,341,471,311,83,73,13
"Monroe County, Tennessee",,"17,497","1,687","1,337","1,542","1,441",968,"1,393",986,905,806,"1,344","1,695","1,756",721,444,219,253
"Montgomery County, Tennessee",,"64,818","5,384","2,525","2,908","3,474","3,221","3,789","3,636","3,955","2,965","6,242","8,609","8,741","3,915","2,283","1,901","1,270"
"Moore County, Tennessee",,"2,444",82,94,143,199,236,188,152,164,110,212,271,302,143,66,25,57
"Morgan County, Tennessee",,"7,342",730,568,625,460,542,515,358,442,317,454,792,841,316,186,139,57
"Obion County, Tennessee",,"12,496","1,258","1,089",760,797,902,731,660,723,658,"1,133","1,309","1,314",469,261,225,207
"Overton County, Tennessee",,"8,719","1,117",608,663,779,561,642,554,476,376,617,845,852,319,169,93,48
"Perry County, Tennessee",,"3,247",478,226,257,368,235,207,138,175,164,281,341,164,133,61,12,7
"Pickett County, Tennessee",,"2,252",282,148,88,187,156,245,138,73,134,124,235,211,21,113,94,3
"Polk County, Tennessee",,"6,619",633,604,517,481,399,324,409,334,424,467,693,706,243,160,99,126
"Putnam County, Tennessee",,"29,423","4,094","2,456","2,291","2,050","1,968","1,931","1,215","1,307","1,060","2,125","2,917","2,676","1,576",486,718,553
"Rhea County, Tennessee",,"12,307","1,226","1,062","1,073",904,869,677,644,494,658,"1,105","1,093","1,157",628,350,138,229
"Roane County, Tennessee",,"22,070","2,291","1,472","1,414","1,511","1,374","1,310","1,248","1,151","1,152","1,754","2,224","1,997","1,413",776,648,335
"Robertson County, Tennessee",,"24,435","1,233","1,088","1,138",999,"1,192","1,376","1,882","1,012","1,134","2,717","3,237","3,475","1,661","1,133",684,474
"Rutherford County, Tennessee",,"98,454","5,777","3,595","4,491","4,630","4,733","4,676","5,817","5,328","5,066","9,156","11,452","14,067","8,699","4,642","3,988","2,337"
"Scott County, Tennessee",,"8,294","1,137",957,810,703,504,897,264,461,310,636,402,645,242,120,138,68
"Sequatchie County, Tennessee",,"5,635",597,431,344,517,360,318,158,158,214,533,469,837,394,105,141,59
"Sevier County, Tennessee",,"36,253","2,279","2,930","2,678","2,311","2,725","2,256","1,853","2,139","1,649","3,499","3,633","3,834","2,211",928,637,691
"Shelby County, Tennessee",,"345,475","34,129","21,051","21,250","21,082","19,333","19,117","16,580","16,826","13,717","26,690","31,867","35,952","23,628","15,104","14,869","14,280"
"Smith County, Tennessee",,"7,387",698,537,547,302,393,422,421,452,359,800,852,730,370,216,190,98
"Stewart County, Tennessee",,"5,245",587,298,356,315,348,439,232,180,264,433,609,530,340,209,55,50
"Sullivan County, Tennessee",,"66,279","5,568","5,458","5,055","4,708","4,500","4,315","3,835","3,028","2,552","5,668","6,024","6,444","3,536","2,208","1,888","1,492"
"Sumner County, Tennessee",,"61,408","2,649","2,737","3,075","2,902","2,770","3,342","3,737","3,237","2,813","5,538","6,888","8,697","5,132","2,746","2,605","2,540"
"Tipton County, Tennessee",,"21,486","1,514","1,152","1,197","1,227","1,139","1,065","1,050",924,819,"1,884","2,232","3,057","2,071",982,833,340
"Trousdale County, Tennessee",,"2,928",295,295,125,253,338,74,193,97,154,277,261,257,119,70,47,73
"Unicoi County, Tennessee",,"7,579",859,655,803,608,501,408,442,344,223,667,586,751,443,123,88,78
"Union County, Tennessee",,"7,241",823,575,703,457,577,368,476,508,352,535,597,733,247,73,128,89
"Van Buren County, Tennessee",,"2,089",201,96,233,230,123,199,96,140,100,174,173,162,88,30,24,20
"Warren County, Tennessee",,"15,440","1,665","1,300","1,603",975,"1,263","1,015",710,785,638,"1,042","1,705","1,402",614,269,183,271
"Washington County, Tennessee",,"52,330","4,994","3,721","3,681","2,999","3,243","3,228","2,529","2,868","2,816","4,530","4,567","5,087","3,306","1,553","1,512","1,696"
"Wayne County, Tennessee",,"6,018",679,605,528,603,473,405,188,399,294,402,536,529,144,92,103,38
"Weakley County, Tennessee",,"13,654","1,809","1,126",982,917,964,884,784,743,462,951,"1,291","1,257",761,317,226,180
"White County, Tennessee",,"9,827","1,361",712,907,692,681,735,631,547,443,748,803,785,484,170,83,45
"Williamson County, Tennessee",,"68,119","1,790","1,654","1,735","2,099","2,049","2,160","2,061","2,262","1,922","4,147","5,706","9,133","8,359","5,586","7,330","10,126"
"Wilson County, Tennessee",,"43,817","2,073","1,756","2,186","1,903","2,219","1,966","1,959","1,880","1,945","3,982","4,543","6,433","5,073","2,373","1,984","1,542"
"Anderson County, Texas",,"16,610","1,375","1,265","1,108",808,"1,176","1,362",691,962,609,"1,257","1,631","1,826","1,072",542,527,399
"Andrews County, Texas",,"5,412",233,273,339,239,231,382,177,216,247,290,391,841,555,346,300,352
"Angelina County, Texas",,"30,840","2,449","1,941","2,084","2,189","1,951","2,009","1,913","1,691","1,751","2,657","2,906","3,596","1,503",866,679,655
"Aransas County, Texas",,"9,550",678,683,703,684,777,529,455,449,461,770,"1,077",590,652,348,416,278
"Archer County, Texas",,"3,336",170,196,183,167,138,119,177,198,100,249,442,528,335,114,92,128
"Armstrong County, Texas",,665,19,17,32,40,27,35,17,21,31,84,53,81,117,44,41,6
"Atascosa County, Texas",,"15,161","1,286",744,840,743,803,845,592,729,867,"1,279","1,567","1,960","1,209",687,678,332
"Austin County, Texas",,"10,786",756,448,455,836,469,593,410,626,362,958,923,"1,442","1,142",474,513,379
"Bailey County, Texas",,"2,400",274,130,179,224,92,73,94,263,240,193,201,99,223,75,19,21
"Bandera County, Texas",,"8,569",691,370,474,321,553,396,612,424,591,558,874,"1,044",716,305,373,267
"Bastrop County, Texas",,"25,314","1,435","1,144","1,178","1,548","1,375","1,142","1,345","1,387","1,179","2,373","2,643","3,177","2,323","1,423","1,058",584
"Baylor County, Texas",,"1,806",224,180,168,108,119,165,75,170,45,54,148,144,57,21,39,89
"Bee County, Texas",,"8,933",872,883,433,484,430,714,435,570,498,828,"1,058",738,341,201,166,282
"Bell County, Texas",,"106,743","7,273","4,925","5,128","5,414","5,845","5,993","6,236","6,226","5,131","9,929","12,472","13,054","7,873","4,698","3,941","2,605"
"Bexar County, Texas",,"613,290","48,813","32,336","32,740","34,027","34,649","31,799","30,155","29,856","27,287","51,813","63,043","73,109","47,288","27,712","25,568","23,095"
"Blanco County, Texas",,"4,086",217,153,220,182,312,218,251,157,262,299,289,583,293,319,181,150
"Borden County, Texas",,256,0,11,13,11,14,6,3,18,8,24,24,50,35,10,8,21
"Bosque County, Texas",,"6,961",431,440,573,505,311,463,462,341,300,593,755,907,394,173,111,202
"Bowie County, Texas",,"33,766","3,466","2,295","2,046","2,414","2,018","1,749","1,905","1,654","1,427","2,636","3,235","3,931","2,002","1,138",923,927
"Brazoria County, Texas",,"109,817","5,345","4,241","4,528","3,735","4,372","4,344","4,258","4,067","4,934","8,071","11,119","15,331","12,502","7,433","9,199","6,338"
"Brazos County, Texas",,"72,191","11,378","4,944","4,002","4,448","4,625","3,420","4,091","2,829","2,450","4,767","6,182","6,864","4,511","2,430","2,497","2,753"
"Brewster County, Texas",,"4,071",247,298,377,400,264,251,260,233,219,265,289,363,280,138,94,93
"Briscoe County, Texas",,635,44,39,67,34,77,47,33,20,5,38,57,89,40,19,10,16
"Brooks County, Texas",,"2,346",452,363,264,241,111,75,109,88,26,86,172,171,95,50,27,16
"Brown County, Texas",,"13,329","1,063","1,124",881,926,985,796,732,872,742,"1,204","1,073","1,341",776,376,134,304
"Burleson County, Texas",,"6,243",611,320,356,373,328,247,341,295,286,465,880,808,371,274,169,119
"Burnet County, Texas",,"16,774",843,875,"1,021","1,348",894,876,884,821,735,"1,475","2,124","2,013","1,264",575,509,517
"Caldwell County, Texas",,"12,059",720,647,873,637,747,584,707,649,834,922,"1,554","1,250",802,380,462,291
"Calhoun County, Texas",,"7,873",534,364,433,620,307,503,464,436,410,616,883,827,603,406,231,236
"Callahan County, Texas",,"5,220",589,308,389,379,319,306,225,260,245,488,461,543,373,94,122,119
"Cameron County, Texas",,"119,695","17,280","10,763","9,537","9,469","7,944","6,823","6,282","5,575","4,289","8,513","10,312","9,427","5,873","3,099","2,531","1,978"
"Camp County, Texas",,"4,410",412,272,342,493,249,295,286,169,273,321,416,343,212,113,147,67
"Carson County, Texas",,"2,324",65,65,160,137,87,101,74,48,87,275,281,488,192,119,97,48
"Cass County, Texas",,"11,757","1,158","1,039",932,913,979,618,700,637,479,776,"1,142","1,150",491,422,199,122
"Castro County, Texas",,"2,501",122,210,99,244,254,147,157,176,136,118,313,196,101,107,71,50
"Chambers County, Texas",,"12,551",749,635,366,389,592,426,402,774,245,813,"1,036","1,923","1,413",955,"1,287",546
"Cherokee County, Texas",,"17,527","1,675","1,248","1,584","1,431",997,"1,120",904,998,686,"1,363","1,691","1,522",830,570,575,333
"Childress County, Texas",,"2,367",139,154,234,97,184,83,222,34,56,238,151,346,225,108,46,50
"Clay County, Texas",,"4,163",264,302,159,196,212,297,264,181,206,342,389,640,381,145,77,108
"Cochran County, Texas",,"1,000",108,71,73,56,89,23,56,89,41,87,99,89,58,19,30,12
"Coke County, Texas",,"1,541",107,107,182,146,71,93,52,70,23,123,231,158,78,32,16,52
"Coleman County, Texas",,"3,505",319,267,269,387,238,296,185,199,170,272,237,290,173,76,88,39
"Collin County, Texas",,"296,878","10,352","7,065","6,985","8,173","10,125","10,245","10,607","11,574","10,052","20,268","27,639","39,553","37,071","24,405","30,965","31,799"
"Collingsworth County, Texas",,"1,127",70,107,56,50,119,78,66,36,64,120,113,131,26,21,50,20
"Colorado County, Texas",,"7,702",694,513,351,613,302,522,466,368,450,647,766,657,575,265,251,262
"Comal County, Texas",,"43,063","2,016","1,737","1,669","1,866","1,918","2,535","1,622","1,874","1,641","3,169","4,038","5,934","4,392","2,649","3,295","2,708"
"Comanche County, Texas",,"5,096",534,418,345,401,292,514,330,291,191,429,375,509,186,144,91,46
"Concho County, Texas",,821,48,69,40,38,41,53,18,39,43,100,89,107,73,11,28,24
"Cooke County, Texas",,"14,615",805,895,992,801,698,"1,030",704,527,683,"1,299","1,393","1,906","1,163",631,706,382
"Coryell County, Texas",,"20,910","1,161",903,"1,062",905,"1,254",948,"1,528","1,184","1,582","1,908","2,244","3,042","1,548",872,452,317
"Cottle County, Texas",,706,56,94,50,45,51,59,71,22,45,46,81,33,30,6,13,4
"Crane County, Texas",,"1,611",107,50,93,91,78,74,71,77,89,143,218,263,121,54,44,38
"Crockett County, Texas",,"1,418",108,119,11,76,126,52,25,35,106,123,140,246,165,30,48,8
"Crosby County, Texas",,"2,208",192,156,171,149,127,181,177,122,96,195,204,214,72,55,48,49
"Culberson County, Texas",,868,150,109,75,34,18,41,100,37,74,72,64,41,30,0,6,17
"Dallam County, Texas",,"2,299",110,111,104,191,313,174,97,151,106,165,195,318,95,62,62,45
"Dallas County, Texas",,"868,717","61,790","44,849","46,566","51,912","52,069","49,307","46,153","45,132","37,118","71,005","86,291","94,324","62,532","36,334","37,425","45,910"
"Dawson County, Texas",,"4,363",474,407,300,221,367,207,218,232,160,199,399,512,283,80,166,138
"Deaf Smith County, Texas",,"6,210",426,395,455,342,411,412,407,427,320,581,477,747,452,157,108,93
"Delta County, Texas",,"1,926",137,139,158,165,208,93,46,94,40,205,166,236,116,74,23,26
"Denton County, Texas",,"250,472","10,069","6,588","8,305","8,558","9,446","10,123","9,346","9,473","9,195","18,767","25,865","33,618","29,023","20,082","21,708","20,306"
"DeWitt County, Texas",,"6,921",583,413,554,330,392,575,253,177,340,500,672,816,427,301,264,324
"Dickens County, Texas",,928,97,81,69,64,41,70,67,29,32,105,71,122,22,32,18,8
"Dimmit County, Texas",,"3,635",492,288,297,165,228,160,279,159,64,175,416,428,152,160,72,100
"Donley County, Texas",,"1,277",91,85,138,80,69,93,71,53,46,123,131,171,68,17,22,19
"Duval County, Texas",,"3,920",480,299,441,440,184,227,129,182,129,258,224,341,137,139,141,169
"Eastland County, Texas",,"6,970",893,624,436,571,390,550,483,444,331,538,536,513,287,114,87,173
"Ector County, Texas",,"50,214","2,742","2,673","3,197","2,634","2,552","2,341","2,293","2,571","2,127","3,734","5,858","6,435","4,474","2,468","2,117","1,998"
"Edwards County, Texas",,799,78,57,73,25,44,80,28,44,28,82,99,64,61,4,17,15
"Ellis County, Texas",,"51,814","2,332","2,397","1,969","2,564","2,090","2,423","2,235","2,219","2,527","4,432","5,533","7,884","5,201","2,924","2,992","2,092"
"El Paso County, Texas",,"257,600","25,302","18,505","18,922","16,894","16,288","16,036","14,722","13,285","12,450","20,947","23,565","24,604","14,953","8,081","7,353","5,693"
"Erath County, Texas",,"14,696","2,096","1,159",734,869,820,940,562,"1,070",787,"1,042","1,189","1,628",718,417,350,315
"Falls County, Texas",,"5,496",703,441,424,405,487,440,239,221,225,376,489,526,237,110,146,27
"Fannin County, Texas",,"11,795","1,035",903,814,645,733,656,549,630,525,972,"1,125","1,581",807,330,300,190
"Fayette County, Texas",,"9,748",706,708,566,727,547,484,430,436,352,979,"1,110","1,028",505,498,278,394
"Fisher County, Texas",,"1,619",95,107,117,83,119,97,130,83,64,139,254,162,109,26,15,19
"Floyd County, Texas",,"2,400",234,188,153,182,165,152,97,109,93,204,166,267,135,87,124,44
"Foard County, Texas",,519,25,40,79,42,46,32,19,28,22,34,68,63,20,1,0,0
"Fort Bend County, Texas",,"198,316","6,196","4,579","5,384","6,214","6,301","6,542","6,039","6,764","6,705","13,499","18,416","27,005","22,429","17,447","19,906","24,890"
"Franklin County, Texas",,"4,228",359,253,332,291,284,188,226,231,93,290,379,575,265,107,113,242
"Freestone County, Texas",,"7,351",437,605,666,514,438,346,371,336,260,600,880,641,497,353,270,137
"Frio County, Texas",,"4,854",460,418,290,384,344,482,277,311,125,277,480,528,165,93,108,112
"Gaines County, Texas",,"5,483",322,287,356,411,236,164,282,210,216,528,599,810,469,228,196,169
"Galveston County, Texas",,"111,953","7,798","4,708","4,787","5,409","4,835","5,269","4,438","4,803","4,324","8,223","10,241","14,129","10,599","7,208","8,134","7,048"
"Garza County, Texas",,"1,607",57,163,118,132,75,94,55,52,65,196,146,118,122,50,71,93
"Gillespie County, Texas",,"10,606",610,463,803,824,640,494,438,491,258,"1,021","1,013","1,248",802,380,592,529
"Glasscock County, Texas",,470,4,29,8,26,13,25,20,21,9,25,47,29,72,35,33,74
"Goliad County, Texas",,"2,978",142,236,151,220,181,179,114,111,168,298,179,341,248,121,127,162
"Gonzales County, Texas",,"6,397",598,519,480,436,450,292,374,327,178,495,512,810,447,207,106,166
"Gray County, Texas",,"8,403",487,589,634,476,461,567,479,493,394,761,929,924,500,358,238,113
"Grayson County, Texas",,"46,747","3,321","2,884","2,881","2,617","3,009","2,765","2,353","2,558","1,790","3,538","4,975","6,189","3,069","1,691","1,832","1,275"
"Gregg County, Texas",,"45,511","3,682","2,970","3,384","2,735","2,602","2,634","2,107","2,125","2,122","3,881","4,604","4,751","3,281","1,884","1,441","1,308"
"Grimes County, Texas",,"9,001",995,494,554,552,594,330,358,459,372,783,"1,111","1,034",475,403,255,232
"Guadalupe County, Texas",,"47,768","2,300","1,810","1,686","2,012","1,974","2,130","2,017","2,464","2,026","4,502","5,259","7,366","5,070","2,978","2,671","1,503"
"Hale County, Texas",,"11,644","1,010",994,777,738,675,790,557,737,747,"1,007","1,187","1,172",512,325,211,205
"Hall County, Texas",,"1,176",109,164,129,98,35,81,84,66,51,90,101,65,43,24,18,18
"Hamilton County, Texas",,"3,084",263,186,289,147,168,252,153,196,138,209,288,377,161,70,104,83
"Hansford County, Texas",,"1,988",156,86,56,118,192,113,146,110,57,171,234,220,171,39,53,66
"Hardeman County, Texas",,"1,706",213,202,190,62,67,92,72,45,57,171,166,229,83,8,31,18
"Hardin County, Texas",,"20,746","1,489","1,197","1,150","1,253",946,899,"1,051",943,932,"1,504","2,189","2,970","1,673","1,108",908,534
"Harris County, Texas",,"1,462,002","100,154","71,385","78,698","78,903","76,122","77,827","69,209","67,231","59,821","114,347","139,179","166,137","116,333","70,188","80,746","95,722"
"Harrison County, Texas",,"23,544","2,253","1,347","1,593","1,261","1,184","1,439","1,014","1,299","1,083","1,755","2,147","3,056","1,729",953,726,705
"Hartley County, Texas",,"1,817",53,85,109,92,106,18,92,85,73,105,253,286,246,72,67,75
"Haskell County, Texas",,"2,297",236,135,175,161,96,215,73,98,73,199,301,140,197,67,50,81
"Hays County, Texas",,"58,749","4,624","3,071","3,153","3,005","2,801","2,455","2,342","2,220","2,104","4,091","5,965","7,624","5,300","3,410","3,543","3,041"
"Hemphill County, Texas",,"1,410",61,106,23,61,62,40,108,74,31,150,175,167,121,69,104,58
"Henderson County, Texas",,"29,820","2,458","2,055","2,115","2,297","2,168","2,071","1,614","1,916","1,327","2,768","2,562","2,670","1,655",910,682,552
"Hidalgo County, Texas",,"221,150","30,188","20,609","17,966","15,533","13,616","12,778","11,274","9,977","9,745","16,316","18,307","19,826","10,894","6,053","4,207","3,861"
"Hill County, Texas",,"13,108","1,062",903,958,929,935,917,691,720,482,"1,030","1,307","1,457",669,410,412,226
"Hockley County, Texas",,"8,122",741,269,430,480,484,612,339,378,289,776,907,969,540,349,347,212
"Hood County, Texas",,"21,104",921,961,"1,128",903,"1,168","1,600","1,009",798,"1,200","1,879","2,519","2,384","1,494","1,115","1,100",925
"Hopkins County, Texas",,"13,243","1,107",742,850,707,889,831,669,808,704,"1,069","1,831","1,189",932,358,255,302
"Houston County, Texas",,"7,911",964,827,771,597,534,531,382,246,334,512,556,826,405,253,67,106
"Howard County, Texas",,"11,192","1,019",645,570,563,624,815,517,593,465,869,"1,357","1,391",623,405,490,246
"Hudspeth County, Texas",,"1,022",164,152,113,115,97,38,54,50,20,37,51,66,33,15,6,11
"Hunt County, Texas",,"30,697","2,405","2,650","2,053","1,600","2,084","1,572","1,474","1,545","1,127","2,268","3,108","3,585","2,236","1,387",962,641
"Hutchinson County, Texas",,"8,390",700,491,495,602,421,467,364,414,492,691,844,"1,005",655,292,284,173
"Irion County, Texas",,625,28,28,38,48,35,29,23,28,14,57,52,102,69,6,34,34
"Jack County, Texas",,"2,959",171,138,191,144,213,296,223,101,60,239,228,427,243,97,102,86
"Jackson County, Texas",,"5,216",350,400,264,268,214,208,351,259,244,469,496,786,481,183,152,91
"Jasper County, Texas",,"12,511","1,194","1,040","1,020",991,712,735,634,585,460,919,"1,004","1,557",800,397,343,120
"Jeff Davis County, Texas",,"1,051",57,36,45,41,99,73,83,25,22,159,131,85,68,49,63,15
"Jefferson County, Texas",,"92,771","10,159","6,594","6,231","5,978","5,582","5,081","4,605","4,546","3,687","7,380","8,499","8,512","6,289","3,518","3,226","2,884"
"Jim Hogg County, Texas",,"1,773",226,157,111,68,114,135,120,108,49,189,149,112,65,92,0,78
"Jim Wells County, Texas",,"13,488","1,362",779,"1,033",941,742,657,758,843,273,"1,198","1,356",923,"1,108",625,531,359
"Johnson County, Texas",,"53,255","2,822","1,985","2,334","2,477","2,233","2,481","2,671","2,848","2,626","5,185","6,394","7,683","5,089","2,645","2,475","1,307"
"Jones County, Texas",,"5,641",454,493,433,343,206,413,248,393,305,617,430,623,289,118,150,126
"Karnes County, Texas",,"4,460",402,460,275,133,272,268,205,235,188,273,438,344,398,167,157,245
"Kaufman County, Texas",,"35,177","1,887","1,792","1,572","1,324","1,462","1,808","1,471","1,633","1,284","2,993","4,182","4,811","3,968","2,253","1,822",915
"Kendall County, Texas",,"13,119",600,327,497,589,364,615,589,677,299,787,"1,262","1,576","1,360","1,025","1,356","1,196"
"Kenedy County, Texas",,131,6,3,20,21,5,3,12,7,9,0,24,10,6,5,0,0
"Kent County, Texas",,374,20,22,27,24,20,32,3,25,26,33,43,60,19,11,2,7
"Kerr County, Texas",,"20,353","1,267","1,401","1,423","1,438","1,403","1,330","1,284","1,056",916,"1,729","1,594","2,222","1,342",646,668,634
