,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Pinellas County, Florida",,"916,542","771,297","96,559","3,416","27,883","1,059","16,328"
"Polk County, Florida",,"602,095","485,704","91,431","3,637","10,274",639,"10,410"
"Putnam County, Florida",,"74,364","60,114","12,193",438,461,62,"1,096"
"St. Johns County, Florida",,"190,039","171,534","10,830",580,"4,019",159,"2,917"
"St. Lucie County, Florida",,"277,789","212,075","54,320","1,512","4,591",235,"5,056"
"Santa Rosa County, Florida",,"151,372","134,452","8,364","1,342","2,824",224,"4,166"
"Sarasota County, Florida",,"379,448","349,923","18,399","1,180","5,025",199,"4,722"
"Seminole County, Florida",,"422,718","346,278","48,961","1,628","16,268",398,"9,185"
"Sumter County, Florida",,"93,420","82,378","9,147",400,640,52,803
"Suwannee County, Florida",,"41,551","35,622","4,796",301,243,28,561
"Taylor County, Florida",,"22,570","17,195","4,682",187,154,6,346
"Union County, Florida",,"15,535","11,772","3,474",59,34,2,194
"Volusia County, Florida",,"494,593","422,692","53,139","2,092","7,926",315,"8,429"
"Wakulla County, Florida",,"30,776","25,377","4,485",197,175,25,517
"Walton County, Florida",,"55,043","49,505","3,209",507,509,99,"1,214"
"Washington County, Florida",,"24,896","20,177","3,754",326,135,21,483
"Appling County, Georgia",,"18,236","14,398","3,451",77,135,35,140
"Atkinson County, Georgia",,"8,375","6,527","1,491",104,48,83,122
"Bacon County, Georgia",,"11,096","9,151","1,727",36,48,13,121
"Baker County, Georgia",,"3,451","1,753","1,629",9,30,2,28
"Baldwin County, Georgia",,"45,720","25,440","19,049",130,592,20,489
"Banks County, Georgia",,"18,395","17,482",436,85,177,21,194
"Barrow County, Georgia",,"69,367","57,209","8,036",302,"2,433",45,"1,342"
"Bartow County, Georgia",,"100,157","86,569","10,431",576,763,87,"1,731"
"Ben Hill County, Georgia",,"17,634","11,070","6,149",91,130,7,187
"Berrien County, Georgia",,"19,286","16,855","2,083",62,82,5,199
"Bibb County, Georgia",,"155,547","68,864","81,547",397,"2,666",177,"1,896"
"Bleckley County, Georgia",,"13,063","9,249","3,581",16,110,3,104
"Brantley County, Georgia",,"18,411","17,526",541,70,38,2,234
"Brooks County, Georgia",,"16,243","10,209","5,750",49,51,21,163
"Bryan County, Georgia",,"30,233","24,553","4,349",107,504,29,691
"Bulloch County, Georgia",,"70,217","48,313","19,531",250,"1,028",69,"1,026"
"Burke County, Georgia",,"23,316","11,309","11,580",52,82,21,272
"Butts County, Georgia",,"23,655","16,718","6,490",62,109,4,272
"Calhoun County, Georgia",,"6,694","2,431","4,137",23,30,19,54
"Camden County, Georgia",,"50,513","38,128","9,918",279,739,80,"1,369"
"Candler County, Georgia",,"10,998","8,135","2,695",9,58,16,85
"Carroll County, Georgia",,"110,527","86,559","20,359",517,918,71,"2,103"
"Catoosa County, Georgia",,"63,942","60,430","1,452",243,817,51,949
"Charlton County, Georgia",,"12,171","8,385","3,468",54,77,3,184
"Chatham County, Georgia",,"265,128","145,132","107,382",884,"6,520",316,"4,894"
"Chattahoochee County, Georgia",,"11,267","8,191","2,213",102,273,80,408
"Chattooga County, Georgia",,"26,015","22,465","2,930",81,113,74,352
"Cherokee County, Georgia",,"214,346","193,048","12,606","1,146","3,683",197,"3,666"
"Clarke County, Georgia",,"116,714","77,715","31,417",413,"4,981",144,"2,044"
"Clay County, Georgia",,"3,183","1,212","1,923",11,10,1,26
"Clayton County, Georgia",,"259,424","64,593","174,493","1,777","13,240",268,"5,053"
"Clinch County, Georgia",,"6,798","4,730","1,913",53,13,4,85
"Cobb County, Georgia",,"688,078","461,683","176,401","3,493","31,590",534,"14,377"
"Coffee County, Georgia",,"42,356","30,033","11,379",158,316,22,448
"Colquitt County, Georgia",,"45,498","33,672","10,398",590,322,65,451
"Columbia County, Georgia",,"124,053","96,680","18,747",441,"4,907",231,"3,047"
"Cook County, Georgia",,"17,212","12,127","4,739",50,124,9,163
"Coweta County, Georgia",,"127,317","100,005","22,379",518,"2,019",105,"2,291"
"Crawford County, Georgia",,"12,630","9,528","2,846",63,38,9,146
"Crisp County, Georgia",,"23,439","12,866","10,133",34,184,13,209
"Dade County, Georgia",,"16,633","16,076",158,75,128,10,186
"Dawson County, Georgia",,"22,330","21,674",122,92,130,12,300
"Decatur County, Georgia",,"27,842","15,679","11,528",201,151,28,255
"DeKalb County, Georgia",,"691,893","257,000","380,633","4,315","36,366",546,"13,033"
"Dodge County, Georgia",,"21,796","14,821","6,579",83,101,29,183
"Dooly County, Georgia",,"14,918","7,211","7,477",23,98,10,99
"Dougherty County, Georgia",,"94,565","28,639","63,755",240,758,181,992
"Douglas County, Georgia",,"132,403","73,966","53,176",508,"2,003",193,"2,557"
"Early County, Georgia",,"11,008","5,384","5,474",43,37,2,68
"Echols County, Georgia",,"4,034","3,651",190,115,13,7,58
"Effingham County, Georgia",,"52,250","43,646","7,089",179,443,31,862
"Elbert County, Georgia",,"20,166","13,780","6,030",53,128,10,165
"Emanuel County, Georgia",,"22,598","14,533","7,632",76,162,8,187
"Evans County, Georgia",,"11,000","7,417","3,314",42,103,32,92
"Fannin County, Georgia",,"23,682","23,181",88,77,77,8,251
"Fayette County, Georgia",,"106,567","78,147","21,691",417,"4,279",91,"1,942"
"Floyd County, Georgia",,"96,317","78,629","13,876",727,"1,315",256,"1,514"
"Forsyth County, Georgia",,"175,511","156,425","4,737",850,"11,133",98,"2,268"
"Franklin County, Georgia",,"22,084","19,678","1,880",56,135,8,327
"Fulton County, Georgia",,"920,581","436,938","410,748","3,280","52,629",508,"16,478"
"Gilmer County, Georgia",,"28,292","27,466",147,159,84,147,289
"Glascock County, Georgia",,"3,082","2,785",255,7,1,0,34
"Glynn County, Georgia",,"79,626","55,975","20,963",380,974,144,"1,190"
"Gordon County, Georgia",,"55,186","51,263","2,103",303,561,218,738
"Grady County, Georgia",,"25,011","16,973","7,277",275,125,57,304
"Greene County, Georgia",,"15,994","9,581","6,135",64,55,17,142
"Gwinnett County, Georgia",,"805,321","494,858","197,266","7,410","87,280",871,"17,636"
"Habersham County, Georgia",,"43,041","39,422","1,474",433,"1,003",121,588
"Hall County, Georgia",,"179,684","157,817","13,981","1,700","3,417",359,"2,410"
"Hancock County, Georgia",,"9,429","2,308","6,986",36,48,1,50
"Haralson County, Georgia",,"28,780","26,823","1,361",73,141,2,380
"Harris County, Georgia",,"32,024","25,618","5,544",119,300,21,422
"Hart County, Georgia",,"25,213","19,931","4,726",39,221,1,295
"Heard County, Georgia",,"11,834","10,372","1,170",51,57,3,181
"Henry County, Georgia",,"203,922","116,318","76,436",675,"6,204",154,"4,135"
"Houston County, Georgia",,"139,900","91,754","40,408",579,"3,508",266,"3,385"
"Irwin County, Georgia",,"9,538","6,921","2,474",2,68,0,73
"Jackson County, Georgia",,"60,485","54,208","4,167",169,"1,056",28,857
"Jasper County, Georgia",,"13,900","10,538","3,073",61,39,1,188
"Jeff Davis County, Georgia",,"15,068","12,519","2,261",82,72,6,128
"Jefferson County, Georgia",,"16,930","7,473","9,229",19,80,11,118
"Jenkins County, Georgia",,"8,340","4,738","3,425",35,44,20,78
"Johnson County, Georgia",,"9,980","6,364","3,497",21,22,3,73
"Jones County, Georgia",,"28,669","21,106","7,028",65,195,3,272
"Lamar County, Georgia",,"18,317","12,222","5,678",56,79,2,280
"Lanier County, Georgia",,"10,078","7,277","2,405",66,107,3,220
"Laurens County, Georgia",,"48,434","29,916","17,396",127,496,5,494
"Lee County, Georgia",,"28,298","21,932","5,285",77,647,19,338
"Liberty County, Georgia",,"63,453","31,331","27,394",407,"1,297",423,"2,601"
"Lincoln County, Georgia",,"7,996","5,292","2,576",28,32,1,67
"Long County, Georgia",,"14,464","9,947","3,769",109,124,56,459
"Lowndes County, Georgia",,"109,233","65,300","39,561",532,"1,657",165,"2,018"
"Lumpkin County, Georgia",,"29,966","28,768",355,188,143,30,482
"McDuffie County, Georgia",,"21,875","12,702","8,737",72,77,19,268
"McIntosh County, Georgia",,"14,333","8,888","5,170",65,46,11,153
"Macon County, Georgia",,"14,740","5,389","8,964",55,199,20,113
"Madison County, Georgia",,"28,120","25,161","2,382",80,188,2,307
"Marion County, Georgia",,"8,742","5,560","2,905",62,78,30,107
"Meriwether County, Georgia",,"21,992","12,900","8,636",79,143,5,229
"Miller County, Georgia",,"6,125","4,294","1,725",15,28,0,63
"Mitchell County, Georgia",,"23,498","11,767","11,271",114,140,10,196
"Monroe County, Georgia",,"26,424","19,567","6,286",87,220,5,259
"Montgomery County, Georgia",,"9,123","6,542","2,458",6,26,1,90
"Morgan County, Georgia",,"17,868","13,230","4,216",102,108,2,210
"Murray County, Georgia",,"39,628","38,307",304,350,133,101,433
"Muscogee County, Georgia",,"189,885","91,696","87,631",874,"4,236",483,"4,965"
"Newton County, Georgia",,"99,958","55,512","41,379",316,962,44,"1,745"
"Oconee County, Georgia",,"32,808","29,617","1,696",71,"1,050",15,359
"Oglethorpe County, Georgia",,"14,899","11,932","2,601",41,65,7,253
"Paulding County, Georgia",,"142,324","112,793","24,871",502,"1,349",71,"2,738"
"Peach County, Georgia",,"27,695","14,191","12,774",105,234,17,374
"Pickens County, Georgia",,"29,431","28,546",342,108,119,8,308
"Pierce County, Georgia",,"18,758","16,659","1,672",136,67,12,212
"Pike County, Georgia",,"17,869","15,681","1,845",55,58,1,229
"Polk County, Georgia",,"41,475","34,926","5,309",281,312,81,566
"Pulaski County, Georgia",,"12,010","7,905","3,841",46,113,9,96
"Putnam County, Georgia",,"21,218","15,168","5,615",86,113,54,182
"Quitman County, Georgia",,"2,513","1,290","1,205",6,2,0,10
"Rabun County, Georgia",,"16,276","15,652",183,70,121,8,242
"Randolph County, Georgia",,"7,719","2,870","4,778",5,23,1,42
"Richmond County, Georgia",,"200,549","81,675","109,558",790,"3,427",446,"4,653"
"Rockdale County, Georgia",,"85,215","41,627","40,105",390,"1,582",82,"1,429"
"Schley County, Georgia",,"5,010","3,763","1,173",4,39,0,31
"Screven County, Georgia",,"14,593","8,008","6,332",47,60,2,144
"Seminole County, Georgia",,"8,729","5,679","2,926",13,35,0,76
"Spalding County, Georgia",,"64,073","41,048","21,197",266,595,44,923
"Stephens County, Georgia",,"26,175","22,581","2,866",91,180,16,441
"Stewart County, Georgia",,"6,058","2,714","3,175",31,57,1,80
"Sumter County, Georgia",,"32,819","14,784","17,087",156,433,55,304
"Talbot County, Georgia",,"6,865","2,692","4,079",24,9,0,61
"Taliaferro County, Georgia",,"1,717",655,"1,024",3,12,0,23
"Tattnall County, Georgia",,"25,520","17,397","7,608",147,99,34,235
"Taylor County, Georgia",,"8,906","5,262","3,521",7,57,0,59
"Telfair County, Georgia",,"16,500","10,090","6,105",45,101,6,153
"Terrell County, Georgia",,"9,315","3,447","5,705",36,29,14,84
"Thomas County, Georgia",,"44,720","27,121","16,562",216,326,19,476
"Tift County, Georgia",,"40,118","27,217","11,791",150,546,20,394
"Toombs County, Georgia",,"27,223","19,646","6,870",187,207,23,290
"Towns County, Georgia",,"10,471","10,298",43,31,48,3,48
"Treutlen County, Georgia",,"6,885","4,551","2,255",14,16,0,49
"Troup County, Georgia",,"67,044","42,244","22,513",227,"1,090",100,870
"Turner County, Georgia",,"8,930","5,030","3,767",34,44,4,51
"Twiggs County, Georgia",,"9,023","5,140","3,734",28,14,1,106
"Union County, Georgia",,"21,356","20,829",106,89,75,4,253
"Upson County, Georgia",,"27,153","18,950","7,659",100,129,13,302
"Walker County, Georgia",,"68,756","64,395","2,853",201,306,37,964
"Walton County, Georgia",,"83,768","68,087","13,222",275,984,79,"1,121"
"Ware County, Georgia",,"36,312","24,605","10,774",132,288,25,488
"Warren County, Georgia",,"5,834","2,164","3,605",10,22,0,33
"Washington County, Georgia",,"21,187","9,663","11,220",26,112,1,165
"Wayne County, Georgia",,"30,099","23,202","6,062",153,170,20,492
"Webster County, Georgia",,"2,799","1,568","1,188",5,7,0,31
"Wheeler County, Georgia",,"7,421","4,713","2,629",6,16,3,54
"White County, Georgia",,"27,144","26,077",460,144,125,9,329
"Whitfield County, Georgia",,"102,599","94,067","4,066","1,379","1,451",181,"1,455"
"Wilcox County, Georgia",,"9,255","5,842","3,276",18,43,1,75
"Wilkes County, Georgia",,"10,593","5,788","4,573",20,65,1,146
"Wilkinson County, Georgia",,"9,563","5,710","3,677",43,32,2,99
"Worth County, Georgia",,"21,679","15,323","6,004",59,94,9,190
"Hawaii County, Hawaii",,"185,079","64,419","1,091","1,001","41,810","22,930","53,828"
"Honolulu County, Hawaii",,"953,207","206,179","20,198","2,866","423,055","92,676","208,233"
"Kalawao County, Hawaii",,90,25,0,0,7,44,14
"Kauai County, Hawaii",,"67,091","22,678",284,307,"21,354","6,178","16,290"
"Maui County, Hawaii",,"154,834","55,750",900,786,"45,407","16,464","35,527"
"Ada County, Idaho",,"392,365","364,426","4,634","3,152","9,663",915,"9,575"
"Adams County, Idaho",,"3,976","3,855",5,39,16,2,59
"Bannock County, Idaho",,"82,839","76,289",658,"2,824","1,108",201,"1,759"
"Bear Lake County, Idaho",,"5,986","5,874",9,33,24,1,45
"Benewah County, Idaho",,"9,285","8,082",28,816,27,7,325
"Bingham County, Idaho",,"45,607","40,970",203,"3,308",324,44,758
"Blaine County, Idaho",,"21,376","20,546",58,315,189,26,242
"Boise County, Idaho",,"7,028","6,763",21,66,29,5,144
"Bonner County, Idaho",,"40,877","39,442",62,327,189,46,811
"Bonneville County, Idaho",,"104,234","99,618",657,"1,108",918,98,"1,835"
"Boundary County, Idaho",,"10,972","10,466",29,189,67,6,215
"Butte County, Idaho",,"2,891","2,825",6,15,5,5,35
"Camas County, Idaho",,"1,117","1,080",3,7,1,0,26
"Canyon County, Idaho",,"188,923","177,999","1,313","3,079","1,746",547,"4,239"
"Caribou County, Idaho",,"6,963","6,791",4,40,23,16,89
"Cassia County, Idaho",,"22,952","22,051",115,282,145,34,325
"Clark County, Idaho",,982,932,7,19,8,0,16
"Clearwater County, Idaho",,"8,761","8,306",18,200,61,9,167
"Custer County, Idaho",,"4,368","4,275",8,27,10,4,44
"Elmore County, Idaho",,"27,038","24,054",780,362,791,115,936
"Franklin County, Idaho",,"12,786","12,509",28,72,16,8,153
"Fremont County, Idaho",,"13,242","12,831",84,110,31,21,165
"Gem County, Idaho",,"16,719","16,145",21,118,88,16,331
"Gooding County, Idaho",,"15,464","14,806",55,239,95,29,240
"Idaho County, Idaho",,"16,267","15,385",42,491,70,7,272
"Jefferson County, Idaho",,"26,140","25,248",63,308,112,36,373
"Jerome County, Idaho",,"22,374","21,367",114,520,90,30,253
"Kootenai County, Idaho",,"138,494","132,071",432,"1,869",994,141,"2,987"
"Latah County, Idaho",,"37,244","34,991",299,260,789,57,848
"Lemhi County, Idaho",,"7,936","7,697",18,62,30,3,126
"Lewis County, Idaho",,"3,821","3,507",14,191,18,5,86
"Lincoln County, Idaho",,"5,208","5,043",19,57,20,6,63
"Madison County, Idaho",,"37,536","36,310",189,119,364,61,493
"Minidoka County, Idaho",,"20,069","19,131",117,414,106,8,293
"Nez Perce County, Idaho",,"39,265","35,700",123,"2,238",281,38,885
"Oneida County, Idaho",,"4,286","4,191",9,22,21,2,41
"Owyhee County, Idaho",,"11,526","10,569",73,603,81,18,182
"Payette County, Idaho",,"22,623","21,487",65,306,206,21,538
"Power County, Idaho",,"7,817","7,361",71,210,32,13,130
"Shoshone County, Idaho",,"12,765","12,265",29,185,52,18,216
"Teton County, Idaho",,"10,170","9,923",30,56,48,16,97
"Twin Falls County, Idaho",,"77,230","73,539",397,917,998,133,"1,246"
"Valley County, Idaho",,"9,862","9,600",11,87,42,2,120
"Washington County, Idaho",,"10,198","9,777",29,120,106,16,150
"Adams County, Illinois",,"67,103","63,123","2,357",119,452,12,"1,040"
"Alexander County, Illinois",,"8,238","5,097","2,948",29,18,6,140
"Bond County, Illinois",,"17,768","16,283","1,114",102,69,5,195
"Boone County, Illinois",,"54,165","50,719","1,177",366,748,50,"1,105"
"Brown County, Illinois",,"6,937","5,486","1,298",82,20,2,49
"Bureau County, Illinois",,"34,978","33,995",246,127,247,10,353
"Calhoun County, Illinois",,"5,089","5,044",7,9,12,0,17
"Carroll County, Illinois",,"15,387","14,989",131,54,54,3,156
"Cass County, Illinois",,"13,642","12,960",466,62,53,3,98
"Champaign County, Illinois",,"201,081","151,620","25,357",707,"18,231",175,"4,991"
"Christian County, Illinois",,"34,800","33,764",499,54,178,11,294
"Clark County, Illinois",,"16,335","16,096",49,25,56,3,106
"Clay County, Illinois",,"13,815","13,574",49,33,66,0,93
"Clinton County, Illinois",,"37,762","35,709","1,374",116,168,22,373
"Coles County, Illinois",,"53,873","50,335","2,101",113,539,16,769
"Cook County, Illinois",,"5,194,675","3,420,279","1,311,698","39,890","332,803","4,007","85,998"
"Crawford County, Illinois",,"19,817","18,535",945,59,107,9,162
"Cumberland County, Illinois",,"11,048","10,878",38,17,27,1,87
"DeKalb County, Illinois",,"105,160","93,641","6,883",413,"2,552",42,"1,629"
"De Witt County, Illinois",,"16,561","16,201",92,32,69,6,161
"Douglas County, Illinois",,"19,980","19,584",83,41,86,1,185
"DuPage County, Illinois",,"916,924","759,423","43,764","3,803","94,575",400,"14,959"
"Edgar County, Illinois",,"18,576","18,323",72,32,36,4,109
"Edwards County, Illinois",,"6,721","6,608",30,13,22,0,48
"Effingham County, Illinois",,"34,242","33,700",87,66,155,9,225
"Fayette County, Illinois",,"22,140","20,851",989,44,51,5,200
"Ford County, Illinois",,"14,081","13,791",95,38,39,0,118
"Franklin County, Illinois",,"39,561","38,788",127,126,124,3,393
"Fulton County, Illinois",,"37,069","35,078","1,337",216,118,2,318
"Gallatin County, Illinois",,"5,589","5,494",13,14,5,0,63
"Greene County, Illinois",,"13,886","13,633",119,26,16,2,90
"Grundy County, Illinois",,"50,063","48,417",637,149,353,19,488
"Hamilton County, Illinois",,"8,457","8,318",31,29,19,1,59
"Hancock County, Illinois",,"19,104","18,794",55,44,46,12,153
"Hardin County, Illinois",,"4,320","4,224",13,27,22,5,29
"Henderson County, Illinois",,"7,331","7,215",15,18,15,5,63
"Henry County, Illinois",,"50,486","48,735",821,120,195,14,601
"Iroquois County, Illinois",,"29,718","28,983",238,73,118,7,299
"Jackson County, Illinois",,"60,218","47,786","8,724",284,"1,944",45,"1,435"
"Jasper County, Illinois",,"9,698","9,589",11,15,25,2,56
"Jefferson County, Illinois",,"38,827","34,572","3,302",107,250,8,588
"Jersey County, Illinois",,"22,985","22,476",94,65,78,6,266
"Jo Daviess County, Illinois",,"22,678","22,268",107,46,72,11,174
"Johnson County, Illinois",,"12,582","11,368","1,032",42,27,4,109
"Kane County, Illinois",,"515,269","450,930","31,317","5,386","18,796",358,"8,482"
