,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Humboldt County, California",,"134,623","114,662","1,628","8,210","3,107",395,"6,621"
"Imperial County, California",,"174,528","156,066","6,644","4,544","4,024",303,"2,947"
"Inyo County, California",,"18,546","15,338",126,"2,283",256,23,520
"Kern County, California",,"839,631","697,978","53,792","22,511","39,178","2,197","23,975"
"Kings County, California",,"152,982","124,416","12,103","4,398","6,368",430,"5,267"
"Lake County, California",,"64,665","57,205","1,306","2,585",808,138,"2,623"
"Lassen County, California",,"34,895","28,693","3,044","1,427",426,180,"1,125"
"Los Angeles County, California",,"9,818,605","7,056,710","920,648","146,005","1,393,578","36,443","265,221"
"Madera County, California",,"150,865","130,175","6,563","6,895","3,349",342,"3,541"
"Marin County, California",,"252,409","218,456","7,488","2,856","14,286",634,"8,689"
"Mariposa County, California",,"18,251","16,651",141,576,215,27,641
"Mendocino County, California",,"87,841","76,728",787,"5,364","1,572",188,"3,202"
"Merced County, California",,"255,793","210,263","11,199","6,135","20,232",901,"7,063"
"Modoc County, California",,"9,686","8,713",89,480,87,21,296
"Mono County, California",,"14,202","13,275",52,362,198,12,303
"Monterey County, California",,"415,057","342,554","15,220","11,232","28,415","2,507","15,129"
"Napa County, California",,"136,484","117,729","2,961","1,740","9,595",516,"3,943"
"Nevada County, California",,"98,764","93,007",418,"1,222","1,222",126,"2,769"
"Orange County, California",,"3,010,232","2,266,819","59,316","32,622","549,149","11,486","90,840"
"Placer County, California",,"348,432","304,936","5,084","3,797","21,092",875,"12,648"
"Plumas County, California",,"20,007","18,364",195,609,143,18,678
"Riverside County, California",,"2,189,641","1,778,650","152,880","40,208","139,993","9,129","68,781"
"Sacramento County, California",,"1,418,788","935,227","155,667","21,993","210,839","15,955","79,107"
"San Benito County, California",,"55,269","49,144",645,"1,722","1,772",173,"1,813"
"San Bernardino County, California",,"2,035,210","1,585,604","196,754","41,001","137,586","9,113","65,152"
"San Diego County, California",,"3,095,313","2,389,730","172,623","41,343","349,661","18,405","123,551"
"San Francisco County, California",,"805,235","439,461","51,555","6,976","271,876","3,778","31,589"
"San Joaquin County, California",,"685,306","471,335","56,604","13,555","106,085","4,801","32,926"
"San Luis Obispo County, California",,"269,637","242,006","6,229","3,532","9,129",483,"8,258"
"San Mateo County, California",,"718,451","465,985","22,749","6,414","182,604","11,436","29,263"
"Santa Barbara County, California",,"423,895","366,930","10,018","9,353","22,565","1,048","13,981"
"Santa Clara County, California",,"1,781,642","1,046,294","51,766","24,956","582,020","8,709","67,897"
"Santa Cruz County, California",,"262,382","232,054","3,511","4,427","12,215",463,"9,712"
"Shasta County, California",,"177,223","158,262","1,618","5,457","4,550",312,"7,024"
"Sierra County, California",,"3,240","3,102",6,51,12,3,66
"Siskiyou County, California",,"44,900","39,551",586,"1,968",563,113,"2,119"
"Solano County, California",,"413,344","250,857","63,569","5,006","63,027","4,138","26,747"
"Sonoma County, California",,"483,878","426,080","8,810","10,578","19,369","1,794","17,247"
"Stanislaus County, California",,"514,453","436,142","16,853","9,586","28,566","4,297","19,009"
"Sutter County, California",,"94,737","71,757","2,215","2,145","14,449",363,"3,808"
"Tehama County, California",,"63,463","57,995",465,"2,082",738,93,"2,090"
"Trinity County, California",,"13,786","12,260",62,703,100,18,643
"Tulare County, California",,"442,179","392,082","9,532","12,183","17,293",971,"10,118"
"Tuolumne County, California",,"55,365","50,529","1,233","1,180",609,87,"1,727"
"Ventura County, California",,"823,318","704,456","17,993","14,548","58,397","2,237","25,687"
"Yolo County, California",,"200,849","154,168","5,759","3,666","26,982","1,186","9,088"
"Yuba County, California",,"72,155","57,524","2,689","2,183","5,211",327,"4,221"
"Adams County, Colorado",,"441,603","387,643","15,143","9,387","16,830",858,"11,742"
"Alamosa County, Colorado",,"15,445","13,824",204,798,191,31,397
